Timestamp,To what extent do you believe the online safety act makes the internet safer for users from harm?,What types of cyber-harm is the online safety act most effective at addressing?,Will the Online Safety Act help hold tech companies more accountable for user safety?,What is your main concern about how the online safety act could affect freedom of expression online?,Does the Online Safety Act protect users from harm without unfairly limiting freedom of expressions?,What should be prioritized more under the online safety act?,How familiar are you with the online safety act?,"How would you rate your overall confidence using digital platforms? (e.g social media, e-banking, online forms)",What is your age group?,Anything else you'd like to mention? (Not Required)
20/10/2025 19:26:55,1,None of the above,Strongly disagree,"Lead to excessive censorship of opinions, Give tech companies too much power to remove content, May restrict political or social discussions",1,Protecting freedom of speech,Very familiar,4,25-34,
20/10/2025 19:29:34,2,Child Protection Onine,Disagree,"Lead to excessive censorship of opinions, Give tech companies too much power to remove content, May restrict political or social discussions",1,Both equally,Very familiar,5,18-24,
24/10/2025 13:58:34,1,None of the above,Strongly disagree,"Lead to excessive censorship of opinions, Give tech companies too much power to remove content, May restrict political or social discussions",1,Protecting freedom of speech,Very familiar,5,18-24,The Online Safety Act is evil
24/10/2025 14:00:10,1,None of the above,Strongly disagree,"Lead to excessive censorship of opinions, May restrict political or social discussions",1,Protecting freedom of speech,Very familiar,5,18-24,
24/10/2025 14:07:50,4,"Cyberbullying/Harassment, Illegal Content, Child Protection Onine",Strongly agree,"Lead to excessive censorship of opinions, Give tech companies too much power to remove content, May restrict political or social discussions",2,Both equally,Somewhat Familiar,5,18-24,
24/10/2025 15:19:40,4,"Illegal Content, Child Protection Onine",Strongly agree,"Give tech companies too much power to remove content, May restrict political or social discussions",3,Protecting users from harmful content,Heard of it but not familiar,4,45-54,
25/10/2025 18:49:43,2,"Cyberbullying/Harassment, Child Protection Onine",Agree,May restrict political or social discussions,3,Protecting users from harmful content,Somewhat Familiar,4,18-24,
28/10/2025 09:08:20,4,"Misinformation, Child Protection Onine",Agree,Give tech companies too much power to remove content,4,Both equally,Somewhat Familiar,5,18-24,
28/10/2025 09:23:01,4,"Cyberbullying/Harassment, Misinformation, Illegal Content, Child Protection Onine",Neutral,"Lead to excessive censorship of opinions, Give tech companies too much power to remove content, May restrict political or social discussions",4,Protecting users from harmful content,Somewhat Familiar,5,18-24,
28/10/2025 10:47:03,2,"Illegal Content, Child Protection Onine, Censorship",Strongly disagree,"Lead to excessive censorship of opinions, Give tech companies too much power to remove content, May restrict political or social discussions",1,Both equally,Somewhat Familiar,2,18-24,
29/10/2025 16:44:24,3,Illegal Content,Strongly disagree,"Lead to excessive censorship of opinions, May restrict political or social discussions",3,Protecting freedom of speech,Somewhat Familiar,3,18-24,The Act is lowkey mid
29/10/2025 19:54:14,2,Illegal Content,Neutral,Lead to excessive censorship of opinions,3,Both equally,Somewhat Familiar,5,25-34,
30/10/2025 01:40:11,2,Illegal Content,Neutral,"Lead to excessive censorship of opinions, May restrict political or social discussions",2,Both equally,Somewhat Familiar,3,18-24,
